"Nr.";"Uþsakymas(-ai)";"Sàskaitos Nr.";"Mokëtojas / kam iðraðyta";"Apmokëjimøsuma";"Uþsakovas(-ai)";"Iðraðymodata";"Atidejimas";"Apmokëtiiki";"Vëlavimas";"Sumasu PVM";"Valiuta";"SumaEUR";"Suma be PVMEUR";"Apmoketaiðvisosàskaitosvaliuta";"Likoapmokëtisàskaitosvaliuta";"Apmokëtaviso eur";"Likoapmokëtieurais";"Apmokëjimøinfo"
"1";"2024-339";"LOG0005395";"UAB Transekspedicija";;"UAB Transekspedicija";"2024-06-07";"45";"2024-07-22";" ";"484";"EUR";"484";"400";"484";"0";"484";"0";"484 EUR 2024-07-26 "
"2";"2024-447";"LOG0005491";;;"UAB Transekspedicija";"2024-07-24";"45";"2024-09-07";" ";"605";"EUR";"605";"500";"605";"0";"605";"0";"605 EUR 2024-09-27 "
"3";"2024-722";"LOG0005766";;;"UAB Transekspedicija";"2024-11-19";"45";"2025-01-03";" ";"363";"EUR";"363";"300";"363";"0";"363";"0";"363 EUR 2025-01-10 "
"4";"2024-133";"LOG0005190";;;"UAB Transekspedicija";"2024-03-06";"45";"2024-04-20";" ";"363";"EUR";"363";"300";"363";"0";"363";"0";"363 EUR 2024-04-29 "
"5";"2024-022";"LOG0005081";;;"UAB Transekspedicija";"2024-01-17";"45";"2024-03-02";" ";"242";"EUR";"242";"200";"242";"0";"242";"0";"242 EUR 2024-03-04 "
"6";"2024-183";"LOG0005241";;;"UAB Transekspedicija";"2024-03-21";"45";"2024-05-05";" ";"242";"EUR";"242";"200";"242";"0";"242";"0";"242 EUR 2024-05-08 "
"7";"2024-332";"LOG0005388";;;"UAB Transekspedicija";"2024-06-07";"45";"2024-07-22";" ";"350,9";"EUR";"350,9";"290";"350,9";"0";"350,9";"0";"350.9 EUR 2024-07-26 "
"8";"2024-503";"LOG0005548";;;"UAB Transekspedicija";"2024-08-19";"45";"2024-10-03";" ";"750,2";"EUR";"750,2";"620";"750,2";"0";"750,2";"0";"750.2 EUR 2024-10-08 "
"9";"2024-671";"LOG0005708";;;"UAB Transekspedicija";"2024-10-31";"45";"2024-12-15";" ";"205,7";"EUR";"205,7";"170";"205,7";"0";"205,7";"0";"205.7 EUR 2024-12-20 "
"10";"2024-028";"LOG0005087";;;"UAB Transekspedicija";"2024-01-18";"45";"2024-03-03";" ";"266,2";"EUR";"266,2";"220";"266,2";"0";"266,2";"0";"266.2 EUR 2024-03-04 "
"11";"2024-144";"LOG0005202";;;"UAB Transekspedicija";"2024-03-06";"45";"2024-04-20";" ";"338,8";"EUR";"338,8";"280";"338,8";"0";"338,8";"0";"338.8 EUR 2024-04-29 "
"12";"2024-050";"LOG0005106";;;"UAB Transekspedicija";"2024-01-29";"45";"2024-03-14";" ";"484";"EUR";"484";"400";"484";"0";"484";"0";"484 EUR 2024-03-21 "
"13";"2024-273";"LOG0005330";;;"UAB Transekspedicija";"2024-05-14";"45";"2024-06-28";" ";"665,5";"EUR";"665,5";"550";"665,5";"0";"665,5";"0";"665.5 EUR 2024-07-04 "
"14";"2024-605";"LOG0005650";;;"UAB Transekspedicija";"2024-09-30";"45";"2024-11-14";" ";"387,2";"EUR";"387,2";"320";"387,2";"0";"387,2";"0";"387.2 EUR 2024-11-20 "
"15";"2024-496";"LOG0005541";;;"UAB Transekspedicija";"2024-08-09";"45";"2024-09-23";" ";"314,6";"EUR";"314,6";"260";"314,6";"0";"314,6";"0";"314.6 EUR 2024-09-27 "
"16";"2024-132";"LOG0005189";;;"UAB Transekspedicija";"2024-03-06";"45";"2024-04-20";" ";"290,4";"EUR";"290,4";"240";"290,4";"0";"290,4";"0";"290.4 EUR 2024-04-29 "
"17";"2024-100";"LOG0005157";;;"UAB Transekspedicija";"2024-02-21";"45";"2024-04-06";" ";"677,6";"EUR";"677,6";"560";"677,6";"0";"677,6";"0";"677.6 EUR 2024-04-11 "
"18";"2024-385";"LOG0005432";;;"UAB Transekspedicija";"2024-06-27";"45";"2024-08-11";" ";"447,7";"EUR";"447,7";"370";"447,7";"0";"447,7";"0";"447.7 EUR 2024-08-20 "
"19";"2024-279";"LOG0005336";;;"UAB Transekspedicija";"2024-05-15";"45";"2024-06-29";" ";"665,5";"EUR";"665,5";"550";"665,5";"0";"665,5";"0";"665.5 EUR 2024-07-08 "
"20";"2024-742";"LOG0005784";;;"UAB Transekspedicija";"2024-11-29";"45";"2025-01-13";" ";"314,6";"EUR";"314,6";"260";"314,6";"0";"314,6";"0";"314.6 EUR 2025-01-29 "
"21";"2024-697";"LOG0005739";;;"UAB Transekspedicija";"2024-11-11";"45";"2024-12-26";" ";"756,25";"EUR";"756,25";"625";"756,25";"0";"756,25";"0";"756.25 EUR 2025-01-06 "
"22";"2024-215";"LOG0005278";;;"UAB Transekspedicija";"2024-04-15";"45";"2024-05-30";" ";"1149,5";"EUR";"1149,5";"950";"1149,5";"0";"1149,5";"0";"1149.5 EUR 2024-06-05 "
"23";"2024-027";"LOG0005086";;;"UAB Transekspedicija";"2024-01-18";"45";"2024-03-03";" ";"217,8";"EUR";"217,8";"180";"217,8";"0";"217,8";"0";"217.8 EUR 2024-04-19 "
"24";"2024-410";"LOG0005457";;;"UAB Transekspedicija";"2024-07-04";"45";"2024-08-18";" ";"943,8";"EUR";"943,8";"780";"943,8";"0";"943,8";"0";"943.8 EUR 2024-08-27 "
"25";"2024-700";"LOG0005745";;;"UAB Transekspedicija";"2024-11-15";"45";"2024-12-30";" ";"484";"EUR";"484";"400";"484";"0";"484";"0";"484 EUR 2025-01-08 "
"26";"2024-690";"LOG0005732";;;"UAB Transekspedicija";"2024-11-11";"45";"2024-12-26";" ";"205,7";"EUR";"205,7";"170";"205,7";"0";"205,7";"0";"205.7 EUR 2025-01-06 "
"27";"2024-662";"LOG0005700";;;"UAB Transekspedicija";"2024-10-25";"45";"2024-12-09";" ";"278,3";"EUR";"278,3";"230";"278,3";"0";"278,3";"0";"278.3 EUR 2024-12-10 "
"28";"2024-384";"LOG0005431";;;"UAB Transekspedicija";"2024-06-27";"45";"2024-08-11";" ";"254,1";"EUR";"254,1";"210";"254,1";"0";"254,1";"0";"254.1 EUR 2024-08-20 "
"29";"2024-343";"LOG0005399";;;"UAB Transekspedicija";"2024-06-07";"45";"2024-07-22";" ";"1000";"EUR";"1000";"1000";"1000";"0";"1000";"0";"1000 EUR 2024-07-26 "
"30";"2024-588";"LOG0005623";;;"UAB Transekspedicija";"2024-09-24";"45";"2024-11-08";" ";"568,7";"EUR";"568,7";"470";"568,7";"0";"568,7";"0";"568.7 EUR 2024-11-12 "
"31";"2024-055";"LOG0005111";;;"UAB Transekspedicija";"2024-01-31";"45";"2024-03-16";" ";"1790,8";"EUR";"1790,8";"1480";"1790,8";"0";"1790,8";"0";"1790.8 EUR 2024-03-25 "
"32";"2024-536";"LOG0005578";;;"UAB Transekspedicija";"2024-09-04";"45";"2024-10-19";" ";"242";"EUR";"242";"200";"242";"0";"242";"0";"242 EUR 2024-10-23 "
"33";"2024-234";"LOG0005290";;;"UAB Transekspedicija";"2024-04-15";"45";"2024-05-30";" ";"157,3";"EUR";"157,3";"130";"157,3";"0";"157,3";"0";"96.8 EUR 2024-06-09 SUDENGIMAS60.5 EUR 2024-06-05 "
"34";"2024-204";"LOG0005258";;;"UAB Transekspedicija";"2024-03-29";"45";"2024-05-13";" ";"399,3";"EUR";"399,3";"330";"399,3";"0";"399,3";"0";"399.3 EUR 2024-05-20 "
"35";"2024-157";"LOG0005213";;;"UAB Transekspedicija";"2024-03-14";"45";"2024-04-28";" ";"387,2";"EUR";"387,2";"320";"387,2";"0";"387,2";"0";"387.2 EUR 2024-05-20 "
"36";"2024-130";"LOG0005187";;;"UAB Transekspedicija";"2024-03-06";"45";"2024-04-20";" ";"350";"EUR";"350";"350";"350";"0";"350";"0";"350 EUR 2024-04-29 "
"37";"2024-097";"LOG0005155";;;"UAB Transekspedicija";"2024-02-21";"45";"2024-04-06";" ";"1452";"EUR";"1452";"1200";"1452";"0";"1452";"0";"1452 EUR 2024-04-29 "
"38";"2024-323";"LOG0005379";;;"UAB Transekspedicija";"2024-06-07";"45";"2024-07-22";" ";"713,9";"EUR";"713,9";"590";"713,9";"0";"713,9";"0";"713.9 EUR 2024-07-26 "
"39";"2024-661";"LOG0005699";;;"UAB Transekspedicija";"2024-10-25";"45";"2024-12-09";" ";"592,9";"EUR";"592,9";"490";"592,9";"0";"592,9";"0";"592.9 EUR 2024-12-10 "
"40";"2024-587";"LOG0005622";;;"UAB Transekspedicija";"2024-09-24";"45";"2024-11-08";" ";"211,75";"EUR";"211,75";"175";"211,75";"0";"211,75";"0";"211.75 EUR 2024-11-12 "
"41";"2024-741";"LOG0005782";;;"UAB Transekspedicija";"2024-11-29";"45";"2025-01-13";" ";"665,5";"EUR";"665,5";"550";"665,5";"0";"665,5";"0";"665.5 EUR 2025-01-29 "
"42";"2024-483";"LOG0005526";;;"UAB Transekspedicija";"2024-07-31";"45";"2024-09-14";" ";"266,2";"EUR";"266,2";"220";"266,2";"0";"266,2";"0";"266.2 EUR 2024-09-20 "
"43";"2024-329";"LOG0005385";;;"UAB Transekspedicija";"2024-06-07";"45";"2024-07-22";" ";"484";"EUR";"484";"400";"484";"0";"484";"0";"484 EUR 2024-07-26 "
"44";"2024-571";"LOG0005609";;;"UAB Transekspedicija";"2024-09-18";"45";"2024-11-02";" ";"459,8";"EUR";"459,8";"380";"459,8";"0";"459,8";"0";"459.8 EUR 2024-11-07 "
